SID BETTER WORSE BERT_DASH_base_DASH_L2 BERT_DASH_large_DASH_L2 BLEURT BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR SWSS_PLUS_METEOR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
aif.265772 AFRL.1083 ariel197197.512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1
aif.265772 Online-G.1567 ariel197197.512 0 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
aif.265772 eTranslation.686 DiDi_NLP.1191 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
aif.265772 eTranslation.686 ariel197197.512 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1
aif.265781 Online-A.1583 DiDi_NLP.1191 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 1 0 1 0
aif.265781 Online-A.1583 Online-B.1603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265781 Online-A.1583 ariel197197.512 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0
aif.265781 Online-Z.1644 DiDi_NLP.1191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265781 Online-Z.1644 ariel197197.512 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
aif.265781 AFRL.1083 ariel197197.512 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
aif.265781 eTranslation.686 DiDi_NLP.1191 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0
aif.265781 eTranslation.686 ariel197197.512 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 0
aif.265782 AFRL.1083 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265782 DiDi_NLP.1191 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265782 OPPO.1094 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
aif.265782 Online-A.1583 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265782 Online-B.1603 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265782 PROMT_NMT.78 Online-G.1567 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265782 ariel197197.512 Online-G.1567 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1
aif.265793 DiDi_NLP.1191 Online-G.1567 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 0
aif.265793 DiDi_NLP.1191 PROMT_NMT.78 1 1 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1
aif.265821 AFRL.1083 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
aif.265821 AFRL.1083 Online-Z.1644 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1
aif.265821 DiDi_NLP.1191 OPPO.1094 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
aif.265821 DiDi_NLP.1191 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
aif.265821 Online-B.1603 OPPO.1094 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
aif.265821 Online-B.1603 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
aif.265821 PROMT_NMT.78 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
aif.265821 PROMT_NMT.78 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
aif.265821 eTranslation.686 OPPO.1094 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
aif.265821 eTranslation.686 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
aif.265869 AFRL.1083 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265869 AFRL.1083 Online-B.1603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aif.265869 Online-A.1583 Online-B.1603 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1
aif.265869 ariel197197.512 Online-B.1603 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1
aif.265869 eTranslation.686 OPPO.1094 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
aif.265869 eTranslation.686 Online-B.1603 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 1
argumenti.ru.146451 AFRL.1083 DiDi_NLP.1191 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 1 1
argumenti.ru.146451 AFRL.1083 Online-G.1567 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
argumenti.ru.146451 AFRL.1083 PROMT_NMT.78 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0
argumenti.ru.146451 OPPO.1094 DiDi_NLP.1191 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
argumenti.ru.146451 Online-A.1583 DiDi_NLP.1191 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
argumenti.ru.146451 Online-A.1583 Online-G.1567 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0
argumenti.ru.146451 Online-B.1603 DiDi_NLP.1191 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1
argumenti.ru.146451 Online-B.1603 Online-G.1567 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
argumenti.ru.146451 Online-B.1603 PROMT_NMT.78 1 0 1 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0
argumenti.ru.146451 Online-Z.1644 DiDi_NLP.1191 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1
argumenti.ru.146451 Online-Z.1644 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
argumenti.ru.146451 Online-Z.1644 PROMT_NMT.78 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
argumenti.ru.146451 ariel197197.512 DiDi_NLP.1191 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
argumenti.ru.146463 Online-A.1583 AFRL.1083 0 0 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 1 1 1
argumenti.ru.146463 Online-A.1583 DiDi_NLP.1191 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
argumenti.ru.146463 Online-A.1583 ariel197197.512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
argumenti.ru.146474 AFRL.1083 eTranslation.686 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1
argumenti.ru.146474 DiDi_NLP.1191 eTranslation.686 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1
argumenti.ru.146474 OPPO.1094 eTranslation.686 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1
argumenti.ru.146474 Online-A.1583 eTranslation.686 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1
argumenti.ru.146474 Online-Z.1644 eTranslation.686 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
argumenti.ru.146474 ariel197197.512 eTranslation.686 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
argumenti.ru.146499 Online-B.1603 OPPO.1094 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
argumenti.ru.146499 PROMT_NMT.78 AFRL.1083 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
argumenti.ru.146499 PROMT_NMT.78 OPPO.1094 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
argumenti.ru.146499 PROMT_NMT.78 Online-G.1567 0 1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1
argumenti.ru.146500 ariel197197.512 AFRL.1083 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
argumenti.ru.146500 ariel197197.512 Online-G.1567 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
argumenti.ru.146500 eTranslation.686 AFRL.1083 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
argumenti.ru.146500 eTranslation.686 Online-G.1567 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1
bbc-russian.38176 AFRL.1083 Online-B.1603 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
bbc-russian.38176 AFRL.1083 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bbc-russian.38176 Online-G.1567 Online-B.1603 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 0 1 0 1
bbc-russian.38176 Online-G.1567 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bbc-russian.38176 DiDi_NLP.1191 Online-Z.1644 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 0 0 1
bbc-russian.38176 OPPO.1094 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bbc-russian.38176 Online-A.1583 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bbc-russian.38176 PROMT_NMT.78 Online-B.1603 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1
bbc-russian.38176 PROMT_NMT.78 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bbc-russian.38176 ariel197197.512 Online-B.1603 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0
bbc-russian.38176 ariel197197.512 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
bbc-russian.38177 AFRL.1083 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bbc-russian.38177 AFRL.1083 Online-Z.1644 1 1 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0
bbc-russian.38177 AFRL.1083 ariel197197.512 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
bbc-russian.38177 AFRL.1083 eTranslation.686 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bbc-russian.38177 DiDi_NLP.1191 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bbc-russian.38177 DiDi_NLP.1191 Online-Z.1644 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0
bbc-russian.38177 DiDi_NLP.1191 ariel197197.512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
bbc-russian.38177 DiDi_NLP.1191 eTranslation.686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bbc-russian.38177 Online-A.1583 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
bbc-russian.38177 Online-A.1583 ariel197197.512 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
bbc-russian.38177 Online-B.1603 OPPO.1094 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
bbc-russian.38177 Online-B.1603 ariel197197.512 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0
bbc-russian.38177 Online-G.1567 OPPO.1094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0
bbc-russian.38177 Online-G.1567 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bbc-russian.38177 Online-G.1567 ariel197197.512 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0
bbc-russian.38177 Online-G.1567 eTranslation.686 1 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0
dp.ru.16251 DiDi_NLP.1191 PROMT_NMT.78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
dp.ru.16251 DiDi_NLP.1191 eTranslation.686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dp.ru.16283 AFRL.1083 ariel197197.512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
dp.ru.16283 DiDi_NLP.1191 ariel197197.512 1 0 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1
dp.ru.16283 Online-A.1583 ariel197197.512 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1
dp.ru.16283 Online-B.1603 ariel197197.512 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
dp.ru.16283 Online-G.1567 ariel197197.512 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
eg-online.ru.21852 AFRL.1083 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
eg-online.ru.21852 DiDi_NLP.1191 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
eg-online.ru.21852 DiDi_NLP.1191 ariel197197.512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
eg-online.ru.21852 OPPO.1094 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
eg-online.ru.21852 Online-A.1583 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
eg-online.ru.21852 Online-B.1603 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
eg-online.ru.21852 Online-G.1567 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
eg-online.ru.21852 ariel197197.512 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120478 Online-B.1603 AFRL.1083 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 1 0
fakty.ua.120478 Online-B.1603 DiDi_NLP.1191 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120478 Online-G.1567 AFRL.1083 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1
fakty.ua.120478 Online-Z.1644 AFRL.1083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
fakty.ua.120478 PROMT_NMT.78 AFRL.1083 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1
fakty.ua.120478 PROMT_NMT.78 DiDi_NLP.1191 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1
fakty.ua.120478 PROMT_NMT.78 Online-A.1583 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0
fakty.ua.120478 ariel197197.512 AFRL.1083 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120478 eTranslation.686 AFRL.1083 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120505 DiDi_NLP.1191 AFRL.1083 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120505 DiDi_NLP.1191 eTranslation.686 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
fakty.ua.120505 Online-G.1567 AFRL.1083 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120505 Online-Z.1644 AFRL.1083 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0
fakty.ua.120505 Online-Z.1644 eTranslation.686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
fakty.ua.120505 ariel197197.512 AFRL.1083 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fakty.ua.120553 AFRL.1083 DiDi_NLP.1191 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1
fakty.ua.120553 OPPO.1094 DiDi_NLP.1191 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1
fakty.ua.120553 Online-A.1583 DiDi_NLP.1191 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1
fakty.ua.120553 Online-B.1603 DiDi_NLP.1191 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1
fakty.ua.120553 Online-B.1603 PROMT_NMT.78 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1
fakty.ua.120553 Online-G.1567 DiDi_NLP.1191 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1
fakty.ua.120553 Online-Z.1644 DiDi_NLP.1191 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1
fakty.ua.120553 ariel197197.512 DiDi_NLP.1191 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
fakty.ua.120553 eTranslation.686 DiDi_NLP.1191 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1 1
fakty.ua.120553 eTranslation.686 PROMT_NMT.78 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1
gazeta.ru.119104 DiDi_NLP.1191 AFRL.1083 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1
gazeta.ru.119104 DiDi_NLP.1191 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1
gazeta.ru.119104 OPPO.1094 AFRL.1083 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 0
gazeta.ru.119104 OPPO.1094 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
gazeta.ru.119104 Online-A.1583 AFRL.1083 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
gazeta.ru.119104 Online-A.1583 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
gazeta.ru.119104 PROMT_NMT.78 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
gazeta.ru.119104 ariel197197.512 Online-Z.1644 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
gazeta.ru.119129 eTranslation.686 AFRL.1083 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
gazeta.ru.119129 eTranslation.686 DiDi_NLP.1191 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
gazeta.ru.119129 eTranslation.686 Online-G.1567 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 0 1 0 1 1
gazeta.ru.119172 AFRL.1083 PROMT_NMT.78 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 0
gazeta.ru.119172 AFRL.1083 eTranslation.686 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 1 1 0 0 0 1
gazeta.ru.119172 DiDi_NLP.1191 PROMT_NMT.78 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
